Phi[deg],Theta[deg],re(rEPhi)[mV]
-55,-177,-2512.36
-54,-177,-2568.42
-53,-177,-2623.77
-52,-177,-2678.37
-51,-177,-2732.21
-50,-177,-2785.27
-49,-177,-2837.51
-48,-177,-2888.92
-47,-177,-2939.47
-46,-177,-2989.15
-45,-177,-3037.92
-44,-177,-3085.77
-43,-177,-3132.68
-42,-177,-3178.62
-41,-177,-3223.57
-40,-177,-3267.51
-39,-177,-3310.41
-38,-177,-3352.27
-37,-177,-3393.05
-36,-177,-3432.74
-35,-177,-3471.32
-34,-177,-3508.76
-33,-177,-3545.04
-32,-177,-3580.16
-31,-177,-3614.09
-30,-177,-3646.8
-29,-177,-3678.29
-28,-177,-3708.54
-27,-177,-3737.52
-26,-177,-3765.23
-25,-177,-3791.64
-24,-177,-3816.75
-23,-177,-3840.53
-22,-177,-3862.97
-21,-177,-3884.06
-20,-177,-3903.79
-19,-177,-3922.14
-18,-177,-3939.09
-17,-177,-3954.65
-16,-177,-3968.8
-15,-177,-3981.52
-14,-177,-3992.81
-13,-177,-4002.66
-12,-177,-4011.06
-11,-177,-4018.01
-10,-177,-4023.49
-9,-177,-4027.51
-8,-177,-4030.05
-7,-177,-4031.11
-6,-177,-4030.69
-5,-177,-4028.79
-4,-177,-4025.39
-3,-177,-4020.51
-2,-177,-4014.13
-1,-177,-4006.27
0,-177,-3996.91
1,-177,-3986.07
